,id,song,artist,genre,tonality,capo,chords
30,14835,Blowin In The Wind,Bob Dylan,Rock,D,7,"G,C,D,G,C,G,G,C,D,G,C,D,G,C,D,G,C,G,C,D,G,C,D,G,C,D,G,C,C,D,G,G,C,D,G,C,G,G,C,D,G,C,D,G,C,D,G,C,G,C,D,G,C,D,G,C,D,G,C,C,D,G,G,C,D,G,C,G,G,C,D,G,C,D,G,C,D,G,C,G,C,D,G,C,D,G,C,D,G,C,C,D,G"
31,14882,It Aint Me Babe,Bob Dylan,Rock,G,0,"G,C,G,D,G,G,C,G,D,G,Bm,Am,Bm,Am,Bm,Am,Bm,Am,C,D,G,C,D,G,C,D,G,G,C,G,D,G,G,C,G,D,G,Bm,Am,Bm,Am,Bm,Am,Bm,Am,C,D,G,C,D,G,C,D,G,G,C,G,D,G,G,C,G,D,G,Bm,Am,Bm,Am,Bm,Am,Bm,Am,C,D,G,C,D,G,C,D,G"
32,14943,The Times They Are A-Changin,Bob Dylan,Rock,G,0,"D7,D6,G,Em,C,G,G,Am,C,D,G,Em,C,G,G,Am,D,D,D7,D6,D,G,C,D,G,G,Em,C,G,G,Am,C,D,G,Em,C,G,G,Am,D,D,D7,D6,D,G,C,D,G,G,Em,C,G,G,Am,C,D,G,Em,C,G,G,Am,D,D,D7,D6,D,G,C,D,G,G,Em,C,G,G,Am,C,D,G,Em,C,G,G,Am,D,D,D7,D6,D,G,C,D,G,G,Em,C,G,G,Am,C,D,G,Em,C,G,G,Am,D,D,D7,D6,D,G,C,D,G"
33,15835,I Walk The Line,Johnny Cash,Country,Bb,1,"A,D,A,E,B7,E,A,B,E,B,E,A,E,B,E,A,E,A,E,A,D,A,E,A,D,A,D,A,D,G,D,A,D,A,E,A,E,A,D,A,E,A,E,B,E,B,E,A,E,B,E,A"
34,15892,Bad Moon Rising,Creedence Clearwater Revival,Rock,D,0,"D,A,G,D,D,D,A,G,D,D,A,G,D,D,A,G,D,D,A,G,D,G,D,A,G,D,D,A,G,D,D,A,G,D,D,A,G,D,D,A,G,D,G,D,A,G,D,D,A,G,D,D,D,A,G,D,D,G,G,D,D,A,G,D,D,D,A,G,D,D,A,G,D,D,A,G,D,D,A,G,D,G,D,A,G,D,G,D,A,G,D"
35,16066,Mr Jones,Counting Crows,Rock,Am,0,"Am,F,Dm,G,Am,F,G,Am,F,Dm,G,Am,F,G,Am,F,Dm,G,Am,F,G,Am,F,Dm,G,Am,F,G,Am,F,Dm,G,Am,F,G,Am,F,Dm,G,Am,F,G,C,F,G,C,F,G,G,C,F,G,C,F,G,Am,F,Dm,G,Am,F,G,Am,F,Dm,G,Am,F,G,C,F,G,C,F,G,C,F,G,C,F,G,Am,Fmaj7,Am,G,Am,F,Am,G,Am,F,Am,G,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G,C,F,G"
36,17269,Help,The Beatles,Pop,A,0,"A6,Bm,G,G/F#,E,A,A,C#m,F#m,D,G,A,C#m,F#m,D,G,A,Bm,G,G/F#,E,A,C#m,F#m,D,G,A,C#m,F#m,D,G,A,Bm,G,G/F#,E,A,A,C#m,F#m,D,G,A,C#m,F#m,D,G,A,Bm,G,G/F#,E,A,F#m,A,A6"
37,17275,Hey Jude,The Beatles,Pop,F,0,"F,C,C,C6,C7,C7sus4,C7,F,Bb,F,C,F,F,C,C,C6,C7,C7sus4,C7,F,Bb,F,C,F,Fmaj7,F7,Bb,Gm,Gm7,C,F,Fmaj7,F7,Bb,Gm,Gm7,C,F,F6,F7,C,Csus4,C,C,F,C7,F,C,C,C6,C7,C7sus4,C7,F,Bb,F,C,F,Fmaj7,F7,Bb,Gm,Gm7,C,F,Fmaj7,F7,Bb,Gm,Gm7,C,F,F6,F7,C,Csus4,C,C,F,C7,F,C,F,C7,C7sus4,C7,F,Bb,F,C,F,F6,F7,Eb,Bb,F,F6,F7,Eb,Bb,F"
38,17288,If I Fell,The Beatles,Pop,Ebm,0,"Ebm,D,Db,Bbm,Ebm,D,Em,A,D,Em,F#m,Fdim7,Em,A,D,Em,F#m,Em,A,D,Gm,A,D,Em,F#m,Em7,A,D,Em,F#m,Em7,A7,D9,G,Gm,D,A7,D,Em,F#m,Em7,A,D,Em,F#m,Em7,A,A7,D9,G,Gm,D,A7,D,Em,F#m,Em7,A,D,Em,F#m,Em7,A,D,Gm,D,Gm,D"
39,17335,Oh Darling,The Beatles,Pop,A,0,"A,E,F#m,D,Bm7,E7,A7,F7,B7,Bb7,A,E,F#m,D,Bm7,E7,Bm7,E7,A,D,A,E,A,E,F#m,D,Bm7,E7,Bm7,E7,A,D,A,A7,D,F7,A,B7,E7,F7,E7,A,E,F#m,D,Bm7,E7,Bm7,E7,A,D,A,A7,D,F7,A,B7,E7,F7,E7,A,E,F#m,D,Bm7,E7,Bm7,E7,A,D,A,Bb7,A7"
